Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
fp,fp_8_trace,211.10272789001465,Pass,441.89743995666504,40000016,13278390,3.0124,2322129,319532,0.1749,0.0241,13.7603%,7.9883,7237735,22.6510,180.9433,20000016,7433111,2.6907,1347173,225569,0.1812,0.0303,16.7439%,11.2784,5043828,22.3605,252.1912
fp,fp_13_trace,84.63656806945801,Pass,367.8879017829895,40000016,15381010,2.6006,6454282,512591,0.4196,0.0333,7.9419%,12.8148,10878717,21.2230,271.9678,20000016,7554840,2.6473,3233671,256841,0.4280,0.0340,7.9427%,12.8420,5360020,20.8690,268.0008
fp,fp_1_trace,42.69381523132324,Pass,229.85592985153198,30000052,30587388,0.9808,5950800,469842,0.1946,0.0154,7.8954%,15.6614,26889320,57.2306,896.3091,15000052,15315415,0.9794,2965791,235996,0.1936,0.0154,7.9573%,15.7330,13476572,57.1051,898.4350
fp,fp_0_trace,64.73471260070801,Pass,233.04065942764282,30000052,6805808,4.4080,1619852,96735,0.2380,0.0142,5.9718%,3.2245,3030111,31.3238,101.0035,15000052,3429272,4.3741,807780,49675,0.2356,0.0145,6.1496%,3.3117,1553257,31.2684,103.5501
fp,fp_4_trace,106.30326175689697,Pass,338.19665908813477,30000052,6565833,4.5691,2573337,18636,0.3919,0.0028,0.7242%,0.6212,1040043,55.8083,34.6680,15000052,2614708,5.7368,1285217,6712,0.4915,0.0026,0.5222%,0.4475,289210,43.0885,19.2806
compress,compress_4_trace,108.21294689178467,Pass,274.86540508270264,31160801,6654705,4.6825,3496423,61778,0.5254,0.0093,1.7669%,1.9826,1548004,25.0575,49.6779,16160801,3025488,5.3416,1816226,28169,0.6003,0.0093,1.5510%,1.7430,669671,23.7733,41.4380
compress,compress_0_trace,334.9084711074829,Pass,921.1091294288635,120000052,25562302,4.6944,11747875,396542,0.4596,0.0155,3.3754%,3.3045,13988418,35.2760,116.5701,60000052,11951902,5.0201,5895554,197054,0.4933,0.0165,3.3424%,3.2842,6443722,32.7003,107.3953
compress,compress_2_trace,111.43396472930908,Pass,292.8046383857727,32339109,6717113,4.8144,3601347,52651,0.5361,0.0078,1.4620%,1.6281,1335690,25.3687,41.3026,16339109,3038067,5.3781,1821008,27693,0.5994,0.0091,1.5208%,1.6949,624580,22.5537,38.2261
compress,compress_5_trace,111.82196044921875,Pass,303.7319529056549,33811883,7079802,4.7758,3890650,70588,0.5495,0.0100,1.8143%,2.0877,1782900,25.2578,52.7300,17811883,3251796,5.4776,2056891,31481,0.6325,0.0097,1.5305%,1.7674,779565,24.7630,43.7666
compress,compress_1_trace,108.6102991104126,Pass,309.1213638782501,30778699,6631299,4.6414,3314657,56589,0.4999,0.0085,1.7072%,1.8386,1398157,24.7072,45.4261,15778699,3024476,5.2170,1700956,29760,0.5624,0.0098,1.7496%,1.8861,645494,21.6900,40.9092
