Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_36_trace,201.8018684387207,Pass,682.7481400966644,53761949,35500349,1.5144,7755130,206850,0.2185,0.0058,2.6673%,3.8475,9720766,46.9943,180.8113,27761949,15319045,1.8123,4116890,99358,0.2687,0.0065,2.4134%,3.5789,4279859,43.0751,154.1628
int,int_35_trace,119.88736820220947,Pass,329.97705578804016,40000048,11884300,3.3658,5671843,116137,0.4773,0.0098,2.0476%,2.9034,5844986,50.3284,146.1245,20000048,5745872,3.4808,2842811,56390,0.4948,0.0098,1.9836%,2.8195,2779741,49.2949,138.9867
int,int_19_trace,184.28955841064453,Pass,393.24998903274536,40000052,8216014,4.8685,5852871,44709,0.7124,0.0054,0.7639%,1.1177,1662483,37.1845,41.5620,20000052,3884046,5.1493,2929049,19178,0.7541,0.0049,0.6548%,0.9589,723680,37.7349,36.1839
int,int_3_trace,96.88034057617188,Pass,366.01782393455505,40000052,7154046,5.5912,4722773,39585,0.6602,0.0055,0.8382%,0.9896,1108532,28.0038,27.7133,20000052,3648629,5.4815,2249610,23505,0.6166,0.0064,1.0448%,1.1752,576192,24.5136,28.8095
int,int_1_trace,92.84952068328857,Pass,251.7470247745514,30000052,18920215,1.5856,5301134,354152,0.2802,0.0187,6.6807%,11.8050,14977316,42.2906,499.2430,15000052,9037376,1.6598,2642836,176285,0.2924,0.0195,6.6703%,11.7523,7100312,40.2775,473.3525
int,int_0_trace,137.11144542694092,Pass,348.4577622413635,40000041,14757094,2.7106,6223265,207547,0.4217,0.0141,3.3350%,5.1887,10076488,48.5504,251.9119,20000041,6555638,3.0508,3076555,101489,0.4693,0.0155,3.2988%,5.0744,4330008,42.6648,216.5000
int,int_15_trace,98.1560001373291,Pass,639.1169741153717,70000157,18523404,3.7790,9192864,34431,0.4963,0.0019,0.3745%,0.4919,1877797,54.5380,26.8256,35000157,9325031,3.7534,4669511,32615,0.5008,0.0035,0.6985%,0.9319,1502376,46.0640,42.9248
int,int_8_trace,137.59827327728271,Pass,240.38656735420227,40000052,16581990,2.4123,5678944,299350,0.3425,0.0181,5.2712%,7.4837,6910164,23.0839,172.7539,20000052,6638800,3.0126,2813189,135834,0.4237,0.0205,4.8285%,6.7917,3036635,22.3555,151.8314
int,int_26_trace,197.17267227172852,Pass,371.46841502189636,40000052,6847426,5.8416,2130479,54985,0.3111,0.0080,2.5809%,1.3746,1833586,33.3470,45.8396,20000052,3213681,6.2234,1067816,25500,0.3323,0.0079,2.3881%,1.2750,872766,34.2261,43.6382
int,int_22_trace,96.68442058563232,Pass,448.32437324523926,40000052,23414953,1.7083,6671960,223711,0.2849,0.0096,3.3530%,5.5928,16082288,71.8887,402.0567,20000052,11576440,1.7277,3314359,112072,0.2863,0.0097,3.3814%,5.6036,7951137,70.9467,397.5558
int,int_16_trace,128.2670030593872,Pass,291.8886671066284,40000031,19328888,2.0694,6733574,338352,0.3484,0.0175,5.0249%,8.4588,7635197,22.5658,190.8798,20000031,8288525,2.4130,3364149,173411,0.4059,0.0209,5.1547%,8.6705,3770991,21.7460,188.5493
int,int_11_trace,203.19092559814453,Pass,617.136641740799,60000052,16663162,3.6008,4130584,257684,0.2479,0.0155,6.2384%,4.2947,9265666,35.9575,154.4276,30000052,8330599,3.6012,2064453,130086,0.2478,0.0156,6.3012%,4.3362,4672544,35.9189,155.7512
int,int_14_trace,177.29002475738525,Pass,336.76713252067566,39999640,6995579,5.7178,7635435,15961,1.0915,0.0023,0.2090%,0.3990,411579,25.7865,10.2896,20999640,3399546,6.1772,3974167,6798,1.1690,0.0020,0.1711%,0.3237,158894,23.3736,7.5665
int,int_20_trace,187.00185585021973,Pass,338.25963306427,60000051,17731254,3.3839,9561405,186198,0.5392,0.0105,1.9474%,3.1033,5715360,30.6951,95.2559,30000051,7443868,4.0302,4877083,92828,0.6552,0.0125,1.9034%,3.0943,2511851,27.0592,83.7282
int,int_28_trace,185.9219560623169,Pass,338.2319219112396,40000052,8555325,4.6755,4006233,154103,0.4683,0.0180,3.8466%,3.8526,3833316,24.8750,95.8328,20000052,4162866,4.8044,1994428,73029,0.4791,0.0175,3.6617%,3.6514,1836672,25.1499,91.8334
int,int_21_trace,91.63193035125732,Pass,357.7869164943695,40000052,46513352,0.8600,9059172,968555,0.1948,0.0208,10.6914%,24.2138,41654723,43.0071,1041.3667,20000052,22897200,0.8735,4504449,497253,0.1967,0.0217,11.0392%,24.8626,20428367,41.0824,1021.4157
int,int_5_trace,138.47165870666504,Pass,281.2663643360138,30000052,6657377,4.5063,2565027,86277,0.3853,0.0130,3.3636%,2.8759,3104353,35.9812,103.4783,15000052,3319695,4.5185,1297750,42578,0.3909,0.0128,3.2809%,2.8385,1557697,36.5846,103.8461
int,int_32_trace,317.2076416015625,Pass,836.7392828464508,110000052,87671975,1.2547,12636052,812847,0.1441,0.0093,6.4328%,7.3895,75850010,93.3140,689.5452,55000052,38623931,1.4240,6322521,401424,0.1637,0.0104,6.3491%,7.2986,32792625,81.6907,596.2290
int,int_6_trace,130.25432968139648,Pass,192.59868836402893,30000052,7637236,3.9281,3119970,90259,0.4085,0.0118,2.8929%,3.0086,3952560,43.7913,131.7518,15000052,3771034,3.9777,1567043,44268,0.4155,0.0117,2.8249%,2.9512,1960210,44.2805,130.6802
int,int_30_trace,182.9177484512329,Pass,172.13426995277405,40000052,16535602,2.4190,4219863,529597,0.2552,0.0320,12.5501%,13.2399,12645164,23.8770,316.1287,20000052,8046683,2.4855,2099953,257885,0.2610,0.0320,12.2805%,12.8942,6131839,23.7774,306.5912
int,int_31_trace,118.0513105392456,Pass,346.6276183128357,40000052,5129664,7.7978,4773947,58349,0.9307,0.0114,1.2222%,1.4587,1093858,18.7468,27.3464,20000052,2434593,8.2149,2359187,24056,0.9690,0.0099,1.0197%,1.2028,453449,18.8497,22.6724
int,int_10_trace,204.85591316223145,Pass,521.0512261390686,60000052,9694279,6.1892,7032592,33616,0.7254,0.0035,0.4780%,0.5603,899803,26.7671,14.9967,30000052,4486236,6.6871,3499163,16163,0.7800,0.0036,0.4619%,0.5388,368494,22.7986,12.2831
int,int_4_trace,188.2430238723755,Pass,300.705842256546,59999657,13972766,4.2940,7683892,254721,0.5499,0.0182,3.3150%,4.2454,5493207,21.5656,91.5540,30999657,6975038,4.4444,4061423,127491,0.5823,0.0183,3.1391%,4.1127,2709961,21.2561,87.4191
int,int_25_trace,169.04896354675293,Pass,369.71650314331055,40000052,7684759,5.2051,2766410,53731,0.3600,0.0070,1.9423%,1.3433,1997747,37.1805,49.9436,20000052,4242672,4.7140,1541724,46661,0.3634,0.0110,3.0265%,2.3330,1539563,32.9946,76.9779
int,int_27_trace,219.70562553405762,Pass,353.45364236831665,40000052,6359353,6.2900,1891315,34841,0.2974,0.0055,1.8422%,0.8710,1132060,32.4922,28.3015,20000052,2947454,6.7855,940632,14709,0.3191,0.0050,1.5637%,0.7354,501151,34.0710,25.0575
media,media_0_trace,111.51635646820068,Pass,140.34796452522278,20000044,3418018,5.8514,1125035,25728,0.3291,0.0075,2.2869%,1.2864,653854,25.4141,32.6926,10000044,1508334,6.6299,559613,9979,0.3710,0.0066,1.7832%,0.9979,260734,26.1283,26.0733
media,media_1_trace,93.95407485961914,Pass,218.15846419334412,20000048,3616012,5.5310,1052168,25587,0.2910,0.0071,2.4318%,1.2793,663786,25.9423,33.1892,10000048,1563927,6.3942,496668,7954,0.3176,0.0051,1.6015%,0.7954,215947,27.1495,21.5946
media,media_2_trace,114.14013576507568,Pass,245.6959331035614,20000038,3102159,6.4471,682290,10613,0.2199,0.0034,1.5555%,0.5306,592475,55.8254,29.6237,10000038,1665403,6.0046,342782,7421,0.2058,0.0045,2.1649%,0.7421,396282,53.4001,39.6280
media,media_3_trace,113.6968765258789,Pass,174.3720121383667,20000046,3557569,5.6218,1130407,29839,0.3177,0.0084,2.6397%,1.4919,766765,25.6967,38.3382,10000046,1609051,6.2149,568763,13079,0.3535,0.0081,2.2996%,1.3079,346455,26.4894,34.6453
